code  ,db_code_desc                                                        ,clean_name                                                      ,CLEAN NAME EDITED                         ,
33724 ,REPAIR ISOLATED PARTIAL PULM VENOUS RETURN                          ,                                                                ,PULMONARY VEIN ANOMALY PROCEDURE          ,
33800 ,AORTIC SUSPENSN FOR TRACH DECOMPRE                                  ,Thoracic/cardiac procedure                                      ,AORTIC ANOMALY PROCEDURE                  ,
33802 ,DIVISN ABERRANT VESSEL                                              ,Thoracic/cardiac procedure                                      ,AORTIC ANOMALY PROCEDURE                  ,
33803 ,DIVISN ABER VESS W REANAST                                          ,Thoracic/cardiac procedure                                      ,AORTIC ANOMALY PROCEDURE                  ,
33858 ,ASC-AORTA GRFT W/CARD BYPASS FOR AORTIC DISSECTION                  ,Ascending Aorta graft disection                                 ,THORACIC AORTA ANEURYSM PROCEDURE         ,
33859 ,ASC-AORTA GRFT W/CARD BYPASS FOR AORTIC DIS OTH THN DISSECTION      ,Ascending Aorta graft aneurysm/etc.                             ,THORACIC AORTA ANEURYSM PROCEDURE         ,
33860 ,ASCENDING AORTA GRF W/CARD BYP & VALVE SSP                          ,                                                                ,THORACIC AORTA ANEURYSM PROCEDURE         ,
33863 ,AS-AORT GRF W/CARD BYP & AORTIC ROOT RPLCMT                         ,Ascending Aorta graft with aortic root replacement (Bentall)    ,THORACIC AORTA ANEURYSM PROCEDURE         ,
33864 ,ASCENDING AORTA GRF VALVE SPARE ROOT REMODEL                        ,Ascending Aorta graft with valve-sparing aortic root remodeling ,THORACIC AORTA ANEURYSM PROCEDURE         ,
33870 ,TRANSVERSE ARCH GRAFT W/CARDIOPULMONARY BYPASS                      ,                                                                ,THORACIC AORTA ANEURYSM PROCEDURE         ,
33871 ,TRANSVRS AORTIC ARCH GRFT W/CARD BYPASS PROFOUND HYPOTHERMIA        ,Aortic Arch graft                                               ,THORACIC AORTA ANEURYSM PROCEDURE         ,
33875 ,DESCENDING THORACIC AORTA GRAFT W/WO BYPASS                         ,Descending Thoracic Aorta graft                                 ,THORACIC AORTA ANEURYSM PROCEDURE         ,
33877 ,RPR THORACOABDOMINAL AORTIC ANEURYS W/WO BYPASS                     ,                                                                ,THORACOABDOMINAL AORTA ANEURYSM PROCEDURE ,
33880 ,EVASC RPR DTA COVERAGE ART ORIGIN 1ST ENDOPROSTH                    ,Aortic surgery code                                             ,ENDOVASCULAR THORACIC AORTA PROCEDURE     ,
33881 ,EVASC RPR DTA EXP COVERAGE W/O ART ORIGIN                           ,Aortic surgery code                                             ,ENDOVASCULAR THORACIC AORTA PROCEDURE     ,
33910 ,PULMONARY ARTERY EMBOLECTOMY W/CARD BYPASS                          ,                                                                ,PULMONARY ARTERY PROCEDURE                ,
33915 ,REMOVE PUL ART EMBOLI NO BYPASS                                     ,Thoracic/cardiac procedure                                      ,PULMONARY ARTERY PROCEDURE                ,
33916 ,PULMONARY ENDARTERCOMY W/WO EMBOLECTOMY W/BYPASS                    ,                                                                ,PULMONARY ARTERY PROCEDURE                ,
33917 ,RPR PULMONARY ART STENOSIS RCNSTJ W/PATCH/GRAFT                     ,                                                                ,PULMONARY ARTERY PROCEDURE                ,
33944 ,BKBENCH PREPJ CADAVER DONOR HEART ALLOGRAFT                         ,Preparation of donor heart                                      ,EXCLUDE/IGNORE                            ,? The lung transplant backbench codes had this
33945 ,HEART TRANSPLANT W/WO RECIPIENT CARDIECTOMY                         ,Heart transplant                                                ,HEART TRANSPLANT                          ,
33952 ,ECMO/ECLS INSJ OF PRPH CANNULA 6 YRS&OLDER PERQ                     ,ECMO                                                            ,ECMO                                      ,
33954 ,ECMO/ECLS INSJ OF PRPH CANNULA 6 YRS&OLDER OPEN                     ,ECMO                                                            ,ECMO                                      ,
33956 ,ECMO/ECLS INSJ OF CENTRAL CANNULA 6 YRS & OLDER                     ,ECMO                                                            ,ECMO                                      ,
33958 ,ECMO/ECLS REPOS PERPH CANNULA PRQ 6 YRS & OLDER                     ,ECMO                                                            ,ECMO                                      ,
33962 ,ECMO/ECLS REPOS PERPH CANNULA OPEN 6 YRS & OLDER                    ,ECMO                                                            ,ECMO                                      ,
33964 ,ECMO/ECLS ECLS REPOS CENTRAL CNULA 6YRS & OLDER                     ,ECMO                                                            ,ECMO                                      ,
33966 ,ECMO/ECLS RMVL OF PRPH CANNULA PRQ 6 YRS & OLDER                    ,ECMO                                                            ,ECMO                                      ,
33973 ,INSRT AORTIC BALLOON THRU ASC AORT                                  ,Thoracic/cardiac procedure                                      ,IABP                                      ,
33974 ,REMV AORTIC BALLOON FROM ASC AORT                                   ,Thoracic/cardiac procedure                                      ,IABP                                      ,
33975 ,INSJ VENTRIC ASSIST DEV XTRCORP SINGLE VENTRICLE                    ,LVAD Insertion                                                  ,VAD                                       ,
33976 ,INSJ VENTRIC ASSIST DEV XTRCORP BIVENTRICULAR                       ,LVAD Insertion                                                  ,VAD                                       ,
33977 ,REMOVAL VENTR ASSIST DEVICE XTRCORP 1 VENTRICLE                     ,LVAD Removal                                                    ,VAD                                       ,
33978 ,REMOVAL VENTR ASSIST DEVICE XTRCORP BIVENTR                         ,LVAD Removal                                                    ,VAD                                       ,
33979 ,INSJ VENTR ASSIST DEV IMPLTABLE ICORP 1 VNTRC                       ,LVAD Insertion                                                  ,VAD                                       ,
33980 ,RMVL VENTR ASSIST DEV IMPLTABLE ICORP 1 VNTRC                       ,LVAD Removal                                                    ,VAD                                       ,
33981 ,RPLCMT XTRCORP VAD 1/BIVENTR PUMP 1/EA PUMP                         ,LVAD Replacement of Pump(s)                                     ,VAD                                       ,
33982 ,"REPLACE VENT ASST DEV, IMPLANT INTRACORP, SINGLE VENT, W/O BYPASS" ,LVAD Replacement of Pump(s)                                     ,VAD                                       ,
33983 ,RPLCMT VAD PMP IMPLTBL ICORP 1 VNTR W/BYPASS                        ,LVAD Replacement of Pump(s)                                     ,VAD                                       ,
33984 ,ECMO/ECLS RMVL PRPH CANNULA OPEN 6 YRS & OLDER                      ,ECMO                                                            ,ECMO                                      ,
33986 ,ECMO/ECLS RMVL OF CENTRAL CANNULA 6 YRS & OLDER                     ,ECMO                                                            ,ECMO                                      ,
33987 ,ARTERY EXPOS/GRAFT ARTERY PERFUSION ECMO/ECLS                       ,ECMO                                                            ,ECMO                                      ,
33988 ,INSERT LEFT HEART VENT BY THORACIC INC ECMO/ECLS                    ,ECMO                                                            ,ECMO                                      ,
33989 ,RMVL LEFT HEART VENT BY THORACIC INCIS ECMO/ECLS                    ,ECMO                                                            ,ECMO                                      ,
33990 ,INSJ PERQ VAD W/IMAGING ARTERY ACCESS ONLY                          ,LVAD Insertion                                                  ,VAD                                       ,
33991 ,INSJ PERQ VAD TRNSPTAL W/IMAGE ART&VENOUS ACCESS                    ,LVAD Insertion                                                  ,VAD                                       ,
33992 ,REMOVAL PERCUTANEOUS VAD DIFFERENT SESSION                          ,LVAD Removal                                                    ,VAD                                       ,
38746 ,THORCOM THRC W/MEDSTNL & REGIONAL LMPHADEC                          ,                                                                ,LYMPHADENECTOMY                           ,
39010 ,MEDIAST W/EXPL DRG RMVL FB/BX TTHRC APPR                            ,                                                                ,MEDIASTINAL PROCEDURE                     ,
39200 ,RESECTION OF MEDIASTINAL CYST                                       ,                                                                ,MEDIASTINAL PROCEDURE                     ,
39220 ,RESECTION MEDIASTINAL TUMOR                                         ,                                                                ,MEDIASTINAL PROCEDURE                     ,
39401 ,MEDIASTINOSCOPY INCLUDES MEDIASTINAL MASS BIOPSY                    ,                                                                ,MEDIASTINAL PROCEDURE                     ,
39402 ,MEDIASTINOSCOPY WITH LYMPH NODE BIOPSY/IES                          ,                                                                ,MEDIASTINAL PROCEDURE                     ,
39501 ,REPAIR DIAPHRAGM LACERATION                                         ,Thoracic/Lung procedure                                         ,DIAPHRAGM PROCEDURE                       ,
39540 ,REPAIR DIAPHR HERNIA TRAUMA ACUTE                                   ,Thoracic/Lung procedure                                         ,DIAPHRAGM PROCEDURE                       ,
39541 ,RPR DIPHRG HRNA OTH/THN NEONATAL TRAUMTC CHRNC                      ,                                                                ,DIAPHRAGM PROCEDURE                       ,
39545 ,IMBRICATION DIAPHRAGM EVENTRATION                                   ,                                                                ,DIAPHRAGM PROCEDURE                       ,
39560 ,RESCJ DIAPHRAGM W/SIMPLE REPAIR                                     ,                                                                ,DIAPHRAGM PROCEDURE                       ,
39561 ,RESCJ DIAPHRAGM W/COMPLEX REPAIR                                    ,                                                                ,DIAPHRAGM PROCEDURE                       ,
43117 ,PRTL ESOPHECT DSTL W/WO PROX GASTRECT/PYLORPLSTY                    ,                                                                ,ESOPHAGEAL PROCEDURE                      ,
43235 ,ESOPHAGOGASTRODUODENOSCOPY TRANSORAL DIAGNOSTIC                     ,                                                                ,EGD                                       ,
43237 ,"ENDOSCOPIC US EXAM, ESOPH "                                        ,Common GI procedure                                             ,EGD                                       ,
43246 ,EGD PERCUTANEOUS PLACEMENT GASTROSTOMY TUBE                         ,                                                                ,EGD                                       ,
43247 ,EGD FLEXIBLE FOREIGN BODY REMOVAL                                   ,                                                                ,EGD                                       ,
43248 ,EGD INSERT GUIDE WIRE DILATOR PASSAGE ESOPHAGUS                     ,                                                                ,EGD                                       ,
43266 ,EGD ENDOSCOPIC STENT PLACEMENT W/WIRE& DILATION                     ,                                                                ,EGD                                       ,
60521 ,THYMECTOMY PRTL/TOT W/O RAD MEDSTNL DSJ SPX                         ,Thymectomy                                                      ,OPEN THYMECTOMY                           ,
60522 ,THYMECTOMY PRTL/TOT RAD MEDSTNL DSJ SPX                             ,Thymectomy                                                      ,OPEN THYMECTOMY                           ,
64804 ,"SYMPATHECTOMY,CERVICOTHORACIC"                                     ,General thoracic procedure                                      ,OPEN SYMPATHECTOMY                        ,
64809 ,"SYMPATHECTOMY,THORACOLUMBAR"                                       ,General thoracic procedure                                      ,OPEN SYMPATHECTOMY                        ,
0345T ,TRANSCATH MITRAL VALVE REPAIR VIA CORONARY SINUS                    ,Mitral valve procedure                                          ,TRANSCATHETER MITRAL VALVE PROCEDURE      ,
0483T ,TMVI W/PROSTHETIC VALVE PERCUTANEOUS APPROACH                       ,Mitral valve procedure                                          ,TRANSCATHETER MITRAL VALVE PROCEDURE      ,
0484T ,TMVI W/PROSTHETIC VALVE TRANSTHORACIC EXPOSURE                      ,Mitral valve procedure                                          ,TRANSCATHETER MITRAL VALVE PROCEDURE      ,
0543T ,TRANSAPICAL MV RPR W/TTE PLMT ARTIF CHORDAE TEND                    ,Mitral valve procedure                                          ,TRANSCATHETER MITRAL VALVE PROCEDURE      ,
0544T ,TCAT MV ANN RCNSTN W/IMPL ADJST ANN RCNSTN DEV                      ,Mitral valve procedure                                          ,TRANSCATHETER MITRAL VALVE PROCEDURE      ,
0545T ,TCAT TV ANN RCNSTN W/IMPL ADJST ANN RCNSTN DEV                      ,Tricuspid valve procedure                                       ,TRANSCATHETER TRICUSPID VALVE PROCEDURE   ,
0569T ,TTVR PERCUTANEOUS APPROACH INITIAL PROSTHESIS                       ,Tricuspid valve procedure                                       ,TRANSCATHETER TRICUSPID VALVE PROCEDURE   ,
0570T ,TTVR PERCUTANEOUS APPROACH EACH ADDL PROSTHESIS                     ,Tricuspid valve procedure                                       ,TRANSCATHETER TRICUSPID VALVE PROCEDURE   ,
