Code,Department,Procedure,Trunk Description,Branch Description,Stem Description,Stem Child Description,Code Description (Leaf)
35311,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Thromboendarterectomy Procedures on Arteries and Veins,,,TEAEC W/WO PATCH GRF SUBCLAV INNOM THORACIC INC
35321,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Thromboendarterectomy Procedures on Arteries and Veins,,,TEAEC W/WO PATCH GRF AXILLARY-BRACHIAL
35331,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Thromboendarterectomy Procedures on Arteries and Veins,,,TEAEC W/WO PATCH GRAFT ABDOMINAL AORTA
35341,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Thromboendarterectomy Procedures on Arteries and Veins,,,TEAEC W/WO PATCH GRAFT MESENTERIC CELIAC/RENAL
35351,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Thromboendarterectomy Procedures on Arteries and Veins,,,TEAEC W/WO PATCH GRAFT ILIAC
35355,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Thromboendarterectomy Procedures on Arteries and Veins,,,TEAEC W/WO PATCH GRAFT ILIOFEMORAL
35361,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Thromboendarterectomy Procedures on Arteries and Veins,,,TEAEC W/WO PATCH GRAFT COMBINED AORTOILIAC
35363,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Thromboendarterectomy Procedures on Arteries and Veins,,,TEAEC W/WO PATCH GRAFT COMBINED AORTOILIOFEMORAL
35371,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Thromboendarterectomy Procedures on Arteries and Veins,,,TEAEC W/WO PATCH GRAFT COMMON FEMORAL
35372,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Thromboendarterectomy Procedures on Arteries and Veins,,,TEAEC W/WO PATCH GRAFT DEEP PROFUNDA FEMORAL
35381,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Thromboendarterectomy Procedures on Arteries and Veins,,,THROMBOENDARTERECT; FEM&/POP&/TIBIOPERON
35390,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Thromboendarterectomy Procedures on Arteries and Veins,,,ROPRTJ CRTD TEAEC > 1 MO AFTER ORIGINAL OPRATIO
35400,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Angioscopy Procedures on Arteries and Veins,,,ANGIOSCOPY NON-CORONARY VESSEL/GRAFTS THER IVNTJ
35450,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML BALOON ANGIOPL OPN RENAL/OTH VISCERAL ART
35452,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML BALLOON ANGIOPLASTY OPEN AORTIC
35454,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML BALO ANGIOP OPN ILIAC
35456,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML BALO ANGIOP OPN FEM-POP
35458,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML BALO ANGIOP OPN BRCH/CPHLC TRNK/BRNCH EA
35459,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML BALO ANGIOP OPN TIBIOPRONEAL TRNK&BRNCH
35460,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML BALLOON ANGIOPLASTY OPEN VENOUS
35470,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML BALO ANGIOP PRQ TIBPRNL TRNK/BRNCH EA
35471,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML BALLOON ANGIOP PRQ RENAL/VISCERAL ART
35472,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML BALLOON ANGIOPLASTY PERCUTANEOUS AORTIC
35473,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML BALO ANGIOP PRQ ILIAC
35474,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML BALO ANGIOP PRQ FEMPOP
35475,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML BALO ANGIOP PRQ BRCH/CPHLC TRNK/BRNCH EA
35476,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML BALLOON ANGIOPLASTY PERCUTANEOUS VENOUS
35480,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML PRPH ATHRC OPN RNL/OTH VISC ART
35481,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML PRPH ATHRC OPN AORTIC
35482,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML PRPH ATHRC OPN ILIAC
35483,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML PRPH ATHRC OPN FEMPOP
35484,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML PRPH ATHRC OPN BRCH/CPHLC TRNK/BRNCH EA
35485,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML PRPH ATHRC OPN TIBPRNL TRNK&BRNCH
35490,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML PRPH ATHRC PRQ RNL/OTH VISC ART
35491,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML PRPH ATHRC PRQ AORTIC
35492,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML PRPH ATHRC PRQ ILIAC
35493,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML PRPH ATHRC PRQ FEMPOP
35494,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML PRPH ATHRC PRQ BRCH/CPHLC TRNK/BRNCH EA
35495,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,,,,TRLUML PRPH ATHRC PRQ TIBPRNL TRNK&BRNCH
35500,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,HARVEST UXTR VEIN 1 SGM LOWER EXTREMITY/CABG PX
35501,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN COMMON-IPSILATERAL CAROTID
35506,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN CAROTID-SUBCLV/SUBCLAVIAN CAROTID
35507,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS GRAFT WITH VEIN; SUBCLAVIAN-CAROTID
35508,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN CAROTID-VERTEBRAL
35509,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN CAROTID-CONTRALATERAL CAROTID
35510,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN CAROTID-BRACHIAL
35511,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN SUBCLAVIAN-SUBCLAVIAN
35512,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN SUBCLAVIAN-BRACHIAL
35515,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN SUBCLAVIAN-VERTEBRAL
35516,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN SUBCLAVIAN-AXILLARY
35518,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN AXILLARY-AXILLARY
35521,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN AXILLARY-FEMORAL
35522,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN AXILLARY-BRACHIAL
35523,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN BRACHIAL-ULNAR/-RADIAL
35525,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN BRACHIAL-BRACHIAL
35526,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN AORTOSUBCLAV/CAROTID/INNOMINATE
35531,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN AORTOCELIAC/AORTOMESENTERIC
35533,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN AXILLARY-FEMORAL-FEMORAL
35535,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN HEPATORENAL
35536,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN SPLENORENAL
35537,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN AORTOILIAC
35538,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN AORTOBI-ILIAC
35539,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN AORTOFEMORAL
35540,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN AORTOBIFEMORAL
35541,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS GRAFT WITH VEIN; AORTOILIAC OR BI-ILIAC
35546,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS GRAFT W/VEIN; AORTOFEMORAL OR BIFEMORAL
35548,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP W/VEIN AORTOILIOFEM UNI
35549,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP W/VEIN AORTOILIOFEM BI
35551,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP W/VEIN AORTOFEMPOP
35556,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN FEMORAL-POPLITEAL
35558,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN FEMORAL-FEMORAL
35560,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN AORTORENAL
35563,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN ILIOILIAC
35565,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS W/VEIN ILIOFEMORAL
35566,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP FEM-ANT TIBL PST TIBL PRONEAL ART/OTH DSTL
35570,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP TIBL-TIBL/PRONEAL-TIBL/TIBL/PRONEAL TRK-TIBL
35571,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP W/VEIN POP-TIBL-PRONEAL ART/OTH DSTL VSL
35572,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,HARVEST FEMPOP VEIN 1 SGM VASC RCNSTJ PX
35582,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,IN-SITU VEIN BYPASS; AORTOFEMORAL-POPLITEAL
35583,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,IN-SITU VEIN BYPASS FEMORAL-POPLITEAL
35585,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,IN-SITU FEM-ANT TIBL PST TIBL/PRONEAL ART
35587,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,IN-SITU VEIN BYP POP-TIBL PRONEAL
35600,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,OPEN HARVEST UPPER EXTREMITY ART 1 SEGMENT CAB
35601,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN COMMON-IPSILATERAL CAROTID
35606,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN CAROTID-SUBCLAVIAN
35612,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN SUBCLAVIAN-SUBCLAVIAN
35616,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN SUBCLAVIAN-AXILLARY
35621,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN AXILLARY-FEMORAL
35623,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN AXILLARY-POPLITEAL/-TIBIAL
35626,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS NOT VEIN AORTOSUBCLA/CAROTID/INNOMINATE
35631,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN AORTOCELIAC AORTOMSN AORTORNL
35632,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS GRAFT W/OTHER THAN VEIN ILIO-CELIAC
35633,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS GRAFT W/OTHER THAN VEIN ILIO-MESENTERIC
35634,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPASS GRAFT W/OTHER THAN VEIN ILIORENAL
35636,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN SPLENORENAL
35637,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN AORTOILIAC
35638,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN AORTOBI-ILIAC
35641,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYPS GRAFT W/OTH THAN VEIN; AORTOILIAC/BI-ILIAC
35642,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN CAROTID-VERTEBRAL
35645,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN SUBCLAVIAN-VERTEBRAL
35646,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN AORTOBIFEMORAL
35647,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN AORTOFEMORAL
35650,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN AXILLARY-AXILLARY
35651,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN AORTOFEMPOP
35654,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN AXILLARY-FEMORAL-FEMORAL
35656,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN FEMORAL-POPLITEAL
35661,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN FEMORAL-FEMORAL
35663,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN ILIOILIAC
35665,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN ILIOFEMORAL
35666,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN FEM-ANT TIBL PST TIBL/PRONEAL
35671,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Bypass Graft Procedures,Bypass Graft Procedures,,BYP OTH/THN VEIN POPLITEAL-TIBIAL/-PERONEAL ART
35681,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Composite Graft Procedures on Arteries and Veins,,,BYPASS COMPOSITE GRAFT PROSTHETIC & VEIN
35682,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Composite Graft Procedures on Arteries and Veins,,,BYP AUTOG COMPOSIT 2 SEG VEINS FROM 2 LOCATIONS
35683,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Composite Graft Procedures on Arteries and Veins,,,BYP AUTOG COMPOSIT 3/> SEG FROM 2/> LOCATION
35685,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Adjuvant Techniques Procedures on Arteries and Veins,,,PLMT VEIN PATCH/CUFF DSTL ANAST BYP CONDUIT
35686,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Adjuvant Techniques Procedures on Arteries and Veins,,,CRTJ DSTL ARVEN FSTL LXTR BYP SURG NON-HEMO
35691,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Arterial Transposition Procedures,,,TRPOS&/RIMPLTJ VERTEBRAL CAROTID ART
35693,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Arterial Transposition Procedures,,,TRPOS&/RIMPLTJ VERTEBRAL SUBCLAVIAN ART
35694,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Arterial Transposition Procedures,,,TRPOS&/RIMPLTJ SUBCLAVIAN CAROTID ART
35695,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Arterial Transposition Procedures,,,TRPOS&/RIMPLTJ CAROTID SUBCLAVIAN ART
35697,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,Arterial Transposition Procedures,,,RIMPLTJ VISC ART INFRARNL AORTIC PROSTH EA ART
35700,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,ROPRTJ > 1 MO AFTER ORIGINAL OPRATION
35701,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,EXPLORATION N/FLWD SURG NECK ARTERY
35702,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,EXPLORATION N/FLWD SURG UPPER EXTREMITY ARTERY
35703,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,EXPLORATION N/FLWD SURG LOWER EXTREMITY ARTERY
35721,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,EXPL N/FLWD SURG RPR W/WO LYSIS FEMORAL ARTERY
35741,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,EXPL N/FLWD SURG RPR W/WO LYSIS POPLITEAL ARTERY
35761,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,EXPL N/FLWD SURG RPR W/WO LYSIS OTHER ARTERY
35800,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,EXPL PO HEMRRG THROMBOSIS/INFCTJ NCK
35820,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,EXPL PO HEMRRG THROMBOSIS/INFCTJ CH
35840,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,EXPL PO HEMRRG THROMBOSIS/INFCTJ ABD
35860,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,EXPL PO HEMRRG THROMBOSIS/INFCTJ XTR
35870,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,RPR GRF-ENTERIC FSTL
35875,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,THRMBC ARTL/VEN GRF OTH/THN HEMO GRF/FSTL
35876,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,THRMBC ARTL/VEN GRF XCP HEMO GRF/FSTL W/REVJ GRF
35879,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,REVJ LXTR ARTL BYP OPN VEIN PATCH ANGIOP
35881,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,REVJ LXTR ARTL BYP OPN W/SGMTL VEIN INTERPOS
35883,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,REVJ FEM ANAST BPG GRN OPN W/NONAUTOG PATCH GRF
35884,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,REVJ FEM ANAST BPG GRN OPN W/AUTOG VN PATCH GRF
35901,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,EXCISION INFECTED NECK GRAFT
35903,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,EXCISION INFECTED GRAFT EXTREMITY
35905,Surgery,Surgical Procedures on the Cardiovascular System,Surgical Procedures on Arteries and Veins,"Repair, Excision, Exploration, Revision Procedures on Arteries and Veins",,,EXCISION INFECTED GRAFT THORAX
